from	to	combined_score	label
Gene_3215	Gene_3204	969	True
Gene_3217	Gene_3204	965	True
Gene_10272	Gene_3624	994	True
Gene_92	Gene_3624	993	True
Gene_7076	Gene_5552	914	True
Gene_7040	Gene_5552	913	True
Gene_3082	Gene_5552	921	True
Gene_5054	Gene_5552	940	True
Gene_6678	Gene_5552	904	True
Gene_3273	Gene_5552	900	True
Gene_7043	Gene_5552	902	True
Gene_1958	Gene_1959	833	True
Gene_8456	Gene_3229	858	True
Gene_5054	Gene_4035	965	True
Gene_338	Gene_4035	945	True
Gene_335	Gene_4035	919	True
Gene_3202	Gene_3223	967	True
Gene_3203	Gene_3223	965	True
Gene_3218	Gene_3223	798	True
Gene_3215	Gene_3223	968	True
Gene_3217	Gene_3223	968	True
Gene_3204	Gene_3223	968	True
Gene_6185	Gene_29927	987	True
Gene_3560	Gene_9111	900	True
Gene_3558	Gene_9111	925	True
Gene_595	Gene_9111	903	True
Gene_10562	Gene_7130	901	True
Gene_4057	Gene_7130	907	True
Gene_1509	Gene_7130	903	True
Gene_4317	Gene_7130	907	True
Gene_7043	Gene_130399	794	True
Gene_92	Gene_130399	973	True
Gene_3624	Gene_130399	972	True
Gene_3784	Gene_3759	983	True
Gene_6640	Gene_3759	709	True
Gene_6790	Gene_79441	909	True
Gene_5318	Gene_5266	900	True
Gene_7051	Gene_5266	923	True
Gene_2249	Gene_5335	903	True
Gene_4804	Gene_5335	918	True
Gene_9423	Gene_5335	905	True
Gene_7066	Gene_5335	915	True
Gene_27006	Gene_5335	901	True
Gene_973	Gene_5335	911	True
Gene_11140	Gene_5335	900	True
Gene_2057	Gene_5335	971	True
Gene_3082	Gene_5335	910	True
Gene_2251	Gene_5335	904	True
Gene_26127	Gene_5335	900	True
Gene_8074	Gene_5335	901	True
Gene_84844	Gene_6431	923	True
Gene_8106	Gene_6431	942	True
Gene_3191	Gene_6431	963	True
Gene_708	Gene_6431	804	True
Gene_1655	Gene_6431	964	True
Gene_57122	Gene_6431	909	True
Gene_9545	Gene_57403	906	True
Gene_11021	Gene_57403	917	True
Gene_51564	Gene_6615	916	True
Gene_5594	Gene_6615	811	True
Gene_5054	Gene_6615	718	True
Gene_10014	Gene_6615	909	True
Gene_2597	Gene_6615	704	True
Gene_1958	Gene_6615	944	True
Gene_80339	Gene_3991	976	True
Gene_5564	Gene_3991	801	True
Gene_2822	Gene_27076	900	True
Gene_6185	Gene_6745	931	True
Gene_29927	Gene_6745	989	True
Gene_11140	Gene_2069	900	True
Gene_1839	Gene_2069	982	True
Gene_5594	Gene_56848	844	True
Gene_3593	Gene_56848	900	True
Gene_1947	Gene_1948	929	True
Gene_4313	Gene_1948	927	True
Gene_8976	Gene_1948	924	True
Gene_8440	Gene_1948	971	True
Gene_4790	Gene_3659	717	True
Gene_6688	Gene_3659	756	True
Gene_3458	Gene_3659	980	True
Gene_2908	Gene_3659	929	True
Gene_1958	Gene_3659	946	True
Gene_4502	Gene_3659	917	True
Gene_5954	Gene_652	902	True
Gene_10272	Gene_652	943	True
Gene_6694	Gene_652	909	True
Gene_2249	Gene_652	717	True
Gene_8646	Gene_652	994	True
Gene_3053	Gene_652	900	True
Gene_3956	Gene_652	915	True
Gene_7076	Gene_652	923	True
Gene_3912	Gene_652	914	True
Gene_4254	Gene_652	749	True
Gene_338	Gene_652	906	True
Gene_84141	Gene_652	903	True
Gene_3488	Gene_652	925	True
Gene_5624	Gene_652	900	True
Gene_335	Gene_652	907	True
Gene_8074	Gene_652	944	True
Gene_4488	Gene_652	904	True
Gene_92	Gene_652	984	True
Gene_130399	Gene_652	858	True
